"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"VEDL","EQ","05-Oct-2018","239.40","237.00","241.50","226.10","229.70","231.65","233.02","1,71,75,345","4,00,21,66,409.90","1,12,432","52,20,296","30.39"
"VEDL","P1","05-Oct-2018","10.35","10.35","10.40","10.35","10.35","10.40","10.36","12,667","1,31,179.95","32","11,147","88.00"
"VEDL","EQ","08-Oct-2018","231.65","227.00","228.25","198.25","207.30","206.75","212.81","3,72,93,316","7,93,64,94,048.40","2,10,227","97,31,266","26.09"
"VEDL","P1","08-Oct-2018","10.40","10.30","10.45","10.30","10.35","10.35","10.35","49,564","5,12,989.35","55","49,519","99.91"
"VEDL","EQ","09-Oct-2018","206.75","208.00","216.50","204.05","212.15","212.10","211.43","1,78,69,475","3,77,81,65,449.45","1,29,988","32,56,661","18.22"
"VEDL","P1","09-Oct-2018","10.35","10.35","10.45","10.35","10.35","10.35","10.35","36,941","3,82,348.80","38","36,891","99.86"
"VEDL","EQ","10-Oct-2018","212.10","213.30","220.65","213.25","218.05","218.15","217.95","1,27,74,692","2,78,42,21,310.10","1,08,301","49,69,622","38.90"
"VEDL","P1","10-Oct-2018","10.35","10.35","10.45","10.35","10.35","10.35","10.35","13,792","1,42,768.25","30","13,792","100.00"
"VEDL","EQ","11-Oct-2018","218.15","208.15","217.75","200.00","208.75","207.90","210.70","1,64,24,058","3,46,05,11,366.80","1,65,929","49,81,717","30.33"
"VEDL","P1","11-Oct-2018","10.35","10.35","10.40","10.35","10.35","10.35","10.35","5,091","52,704.60","25","4,991","98.04"
"VEDL","EQ","12-Oct-2018","207.90","210.50","216.60","210.40","214.50","214.30","214.06","1,16,97,753","2,50,40,43,561.45","99,923","46,44,848","39.71"
"VEDL","P1","12-Oct-2018","10.35","10.40","10.45","10.35","10.35","10.35","10.40","76,664","7,96,962.80","33","76,614","99.93"
"VEDL","EQ","15-Oct-2018","214.30","216.90","216.90","208.65","211.00","210.60","211.87","1,40,22,679","2,97,09,78,853.00","96,846","64,60,365","46.07"
"VEDL","P1","15-Oct-2018","10.35","10.45","10.45","10.35","10.35","10.35","10.35","53,406","5,53,003.65","30","53,406","100.00"
"VEDL","EQ","16-Oct-2018","210.60","212.00","214.80","211.50","212.40","212.45","212.99","54,05,111","1,15,12,24,170.50","42,355","9,66,896","17.89"
"VEDL","P1","16-Oct-2018","10.35","10.35","10.45","10.35","10.35","10.35","10.40","5,04,533","52,47,033.20","53","5,04,532","100.00"
"VEDL","EQ","17-Oct-2018","212.45","215.40","216.45","206.65","208.70","207.95","210.98","85,86,330","1,81,15,11,350.35","73,096","25,81,735","30.07"
"VEDL","P1","17-Oct-2018","10.35","10.45","10.45","10.35","10.40","10.40","10.40","8,89,302","92,48,502.75","65","8,89,302","100.00"
"VEDL","EQ","19-Oct-2018","207.95","206.45","214.20","199.75","212.70","211.10","208.12","1,99,58,162","4,15,37,10,392.55","1,38,715","69,98,282","35.06"
"VEDL","EQ","22-Oct-2018","211.10","213.05","219.25","207.85","212.90","213.55","214.22","1,37,66,095","2,94,89,64,204.95","89,209","38,60,359","28.04"
"VEDL","EQ","23-Oct-2018","213.55","211.80","216.25","207.60","210.40","210.35","212.22","1,21,00,077","2,56,78,99,727.25","73,625","43,93,854","36.31"
"VEDL","EQ","24-Oct-2018","210.35","212.20","214.00","208.30","213.05","211.90","211.38","83,65,420","1,76,82,85,257.15","77,470","21,24,040","25.39"
"VEDL","EQ","25-Oct-2018","211.90","208.60","209.60","201.60","204.55","204.60","205.05","2,13,49,045","4,37,75,72,978.45","1,05,774","1,22,27,445","57.27"
"VEDL","EQ","26-Oct-2018","204.60","204.85","207.45","199.00","203.75","203.65","203.41","1,20,26,230","2,44,62,30,631.10","83,369","19,33,425","16.08"
"VEDL","EQ","29-Oct-2018","203.65","207.05","212.50","203.85","211.20","211.40","207.73","1,08,70,728","2,25,81,67,979.90","71,746","37,29,539","34.31"
"VEDL","EQ","30-Oct-2018","211.40","212.60","216.40","210.00","211.45","211.20","212.80","1,05,00,891","2,23,46,32,611.10","81,635","19,16,410","18.25"
"VEDL","EQ","31-Oct-2018","211.20","211.45","213.85","207.00","210.55","211.15","209.85","1,07,31,974","2,25,20,84,616.95","82,112","25,61,681","23.87"
"VEDL","EQ","01-Nov-2018","211.15","213.00","215.40","208.00","213.40","212.80","212.66","1,72,81,051","3,67,49,02,375.65","89,419","59,90,076","34.66"
"VEDL","EQ","02-Nov-2018","212.80","217.00","227.35","214.55","227.00","225.90","223.03","1,97,22,750","4,39,86,87,192.15","1,14,073","29,80,639","15.11"
"VEDL","EQ","05-Nov-2018","225.90","225.45","227.75","220.80","223.10","222.45","224.13","1,35,42,401","3,03,52,48,746.95","94,511","51,27,456","37.86"
"VEDL","EQ","06-Nov-2018","222.45","207.70","213.65","205.30","207.75","207.40","208.73","1,98,34,081","4,13,99,06,643.10","1,72,964","62,04,184","31.28"
"VEDL","EQ","07-Nov-2018","207.40","209.60","211.95","209.10","210.00","209.75","209.92","24,48,864","51,40,59,156.55","22,452","8,55,972","34.95"
"VEDL","EQ","09-Nov-2018","209.75","210.95","212.00","208.30","209.25","209.05","209.84","68,68,901","1,44,13,95,222.45","52,031","16,06,574","23.39"
"VEDL","EQ","12-Nov-2018","209.05","209.75","210.90","202.25","202.85","203.15","205.71","1,18,01,858","2,42,77,04,337.90","90,283","43,38,987","36.77"
"VEDL","EQ","13-Nov-2018","203.15","202.00","206.00","201.00","205.60","205.60","204.10","92,44,952","1,88,68,72,377.70","77,493","20,96,547","22.68"
"VEDL","EQ","14-Nov-2018","205.60","206.50","207.90","203.55","203.80","204.10","205.76","75,25,220","1,54,84,15,783.55","61,139","20,70,720","27.52"
"VEDL","EQ","15-Nov-2018","204.10","205.30","209.65","202.75","207.10","207.55","206.50","1,02,48,843","2,11,63,80,970.00","72,500","26,49,004","25.85"
"VEDL","EQ","16-Nov-2018","207.55","208.00","209.00","205.55","206.80","206.80","207.25","79,98,497","1,65,76,62,550.85","55,374","28,05,508","35.08"
"VEDL","EQ","19-Nov-2018","206.80","207.80","212.80","207.40","211.50","211.35","210.91","1,08,78,040","2,29,43,05,535.45","75,958","24,77,926","22.78"
"VEDL","EQ","20-Nov-2018","211.35","210.25","210.90","200.00","205.10","205.25","206.32","1,86,15,840","3,84,08,02,012.85","1,37,908","78,69,744","42.27"
"VEDL","EQ","21-Nov-2018","205.25","204.00","204.40","201.00","201.95","201.90","202.45","1,42,73,100","2,88,95,87,504.20","96,571","45,88,512","32.15"
"VEDL","EQ","22-Nov-2018","201.90","203.90","204.60","199.00","199.65","199.60","201.29","1,23,87,967","2,49,36,12,979.25","89,215","37,04,427","29.90"
"VEDL","EQ","26-Nov-2018","199.60","200.00","200.05","191.00","195.75","195.80","194.32","2,05,52,801","3,99,39,22,371.75","1,36,091","67,61,582","32.90"
"VEDL","EQ","27-Nov-2018","195.80","193.85","199.70","190.20","194.75","195.00","194.47","2,10,61,915","4,09,59,85,502.60","1,25,731","47,40,823","22.51"
"VEDL","EQ","28-Nov-2018","195.00","196.20","197.35","192.15","192.80","192.95","195.05","1,33,00,756","2,59,43,73,894.40","98,636","32,86,894","24.71"
"VEDL","EQ","29-Nov-2018","192.95","196.50","201.90","196.25","198.50","198.80","199.15","1,62,48,210","3,23,58,02,757.25","1,18,607","36,29,291","22.34"
"VEDL","EQ","30-Nov-2018","198.80","200.80","201.00","194.85","196.05","195.85","196.63","1,47,13,297","2,89,31,03,294.15","1,26,198","57,25,815","38.92"
